type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
1	5	Australia'	'China'	1485	11.75560121	14.96077441	2.670314293	0	1	1	1	2012
4	4	'United States of America'	'United States of America'	3875	14.64201092	2.525333333	2.184476203	1	4	0	0	2012
4	5	'United States of America'	'United States of America'	1925	14.39802595	3.364978355	1.836057841	1	3	0	0	2012
1	5	'Brazil'	'Singapore'	341	11.52676487	36.4021261	1.585102264	0	4	1	0	2012
1	3	'China'	'China'	8155	10.25779217	3.195902309	1.42678485	1	4	0	0	2012
1	5	'Australia'	'Australia'	920	8.21909987	14.64207428	1.374830534	1	2	0	0	2012
4	5	'China'	'United States of America'	291	17.60589474	13.50715922	1.34128749	0	3	0	1	2012
1	5	'China'	'Australia'	1332	11.91368813	12.94225475	1.271289097	0	2	0	1	2012
4	4	'Australia'	'Australia'	1908	14.50125048	3.330188679	1.224625965	1	2	1	0	2012
4	4	'China'	'China'	3693	13.65230324	2.102118874	1.183094742	1	3	1	0	2012
4	4	'China'	'Panama'	207	17.51477574	20.84057971	1.12677569	0	2	1	1	2012
1	6	'Brazil'	'China'	161	11.74681777	45.16951346	1.100061144	0	2	0	1	2012
4	4	'Panama'	'United States of America'	738	16.98310959	5.733514002	1.061761469	0	1	1	1	2012
1	4	'Brazil'	'Singapore'	345	11.86680098	33.30289855	1.036724413	0	4	1	1	2012
4	5	'China'	'China'	2998	13.35806803	2.082735713	1.029777023	1	2	1	0	2012
4	4	'United States of America'	'Panama'	613	16.74176768	6.260807504	0.954484455	0	1	1	0	2012
4	4	'Panama'	'Panama'	992	6.760468848	3.812584005	0.897208333	1	2	1	0	2012
1	4	'Australia'	'Japan'	596	11.82108015	17.55795582	0.877615975	0	4	1	0	2012
1	4	'China'	'China'	4041	10.13887453	3.381093789	0.87647023	1	2	1	1	2012
4	4	'United States of America'	'Japan'	300	17.1749391	11.86430556	0.875272864	0	1	1	0	2012
4	4	'Panama'	'China'	165	17.17967758	23.47247475	0.871716645	0	4	0	0	2012
1	4	'Australia'	'China'	623	12.01643535	16.00461477	0.856805987	0	1	0	0	2012
1	4	'Australia'	'Australia'	1705	8.53262381	6.690127077	0.854123691	1	2	0	1	2012
4	6	'China'	'United States of America'	153	17.8930894	13.58333333	0.831845867	0	2	1	1	2012
4	5	'United States of America'	'China'	199	16.34553238	17.80925461	0.822311993	0	4	1	0	2012
4	2	'China'	'China'	5513	12.28459258	1.918474971	0.793979743	1	1	1	0	2012
4	6	'China'	'China'	1879	14.10894283	1.734277985	0.791242884	1	2	1	0	2012
4	6	'United States of America'	'China'	140	17.10877782	16.8514881	0.772387675	0	3	1	1	2012
1	6	'Australia'	'Australia'	299	8.590590736	18.42154404	0.767524353	1	3	1	0	2012
1	5	'Singapore'	'Brazil'	375	12.11513687	31.75722222	0.765479607	0	4	0	1	2012
4	6	'Egypt'	'Singapore'	154	16.52905651	14.46672078	0.745765934	0	3	0	1	2012
1	3	'Indonesia'	'China'	1081	10.92953002	11.15853377	0.73338501	0	2	1	1	2012
4	6	'Malaysia'	'Egypt'	160	17.78626317	11.30572917	0.70689486	0	2	0	1	2012
1	6	'Singapore'	'Brazil'	205	12.44766727	30.98556911	0.703097568	0	1	1	1	2012
4	6	'United States of America'	'United States of America'	399	14.55892903	4.84179198	0.658009694	1	2	1	1	2012
4	4	'Brazil'	'Brazil'	2017	12.02413933	2.007457445	0.65741353	1	2	1	0	2012
1	5	'Brazil'	'China'	119	11.27578564	46.84103641	0.618002337	0	4	1	0	2012
7	6	'United States of America'	'United States of America'	2411	8.094280465	2.748496474	0.603403859	1	4	0	1	2012
4	5	'Brazil'	'Brazil'	1645	12.97033409	1.888956434	0.597313657	1	2	1	0	2012
4	5	'Malaysia'	'Egypt'	143	17.25753809	12.52972028	0.594833786	0	1	0	0	2012
1	4	'China'	'Australia'	722	11.84088135	14.8251385	0.594032545	0	1	1	0	2012
